location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.4642,78.4642,78.4642,78.4642,78.4642
timestamp,Temperature ( C),Relative Humidity (%),Wind Speed (km/h),Soil Moisture (m3/m3),Soil Temperature ( C)
20201117T2200,24.2229,60,9.021574,0.166,25.34
20201117T2300,24.0529,60,10.00256,0.166,25.05
20201118T0000,23.8029,61,10.383987,0.166,24.78
20201118T0100,23.0329,65,10.464797,0.166,24.37
20201118T0200,22.0429,72,9.793059,0.166,23.65
20201118T0300,21.2029,80,8.891343,0.166,22.97
20201118T0400,20.6029,85,8.0899935,0.166,22.37
20201118T0500,20.1429,89,7.9036193,0.166,21.87
20201118T0600,19.7529,90,7.4128532,0.166,21.44
20201118T0700,20.7529,84,7.9036193,0.166,21.93
20201118T0800,22.832901,72,13.392774,0.166,23.79
20201118T0900,25.1529,60,15.124284,0.165,26.45
20201118T1000,26.9929,53,15.072783,0.164,29.34
20201118T1100,28.5429,48,15.7908325,0.164,32.07
20201118T1200,29.7829,45,16.299694,0.163,34.27
20201118T1300,30.5529,42,16.055355,0.162,35.74
20201118T1400,30.8929,41,16.08761,0.161,36.35
20201118T1500,30.7729,42,16.08761,0.16,36.04
20201118T1600,30.2629,43,16.199999,0.159,34.79
20201118T1700,29.2229,46,13.281023,0.159,32.71
20201118T1800,27.6229,53,11.298495,0.159,30.17
20201118T1900,26.1529,60,10.799999,0.16,28.26
20201118T2000,24.8429,67,10.464797,0.161,26.75
20201118T2100,23.8929,72,9.957108,0.162,25.55
20201118T2200,23.3129,75,9.931042,0.162,24.83
20201118T2300,22.7529,78,9.957108,0.162,24.22
20201119T0000,22.2929,81,9.290511,0.162,23.7
20201119T0100,21.8629,84,8.891343,0.162,23.25
20201119T0200,21.4729,86,8.0899935,0.162,22.85
20201119T0300,21.082901,90,8.0899935,0.162,22.49
20201119T0400,20.832901,93,9.290511,0.162,22.2
20201119T0500,20.8729,94,10.296251,0.162,22.34
20201119T0600,21.0529,93,9.339208,0.161,22.41
20201119T0700,21.7829,90,13.0447235,0.161,22.87
20201119T0800,23.6329,79,16.485485,0.161,24.51
20201119T0900,25.8129,68,17.373497,0.161,27.05
20201119T1000,27.6929,58,18.218275,0.16,29.86
20201119T1100,29.332901,47,19.174856,0.159,32.49
20201119T1200,30.5129,40,20.188908,0.158,34.6
20201119T1300,31.1929,36,20.421871,0.157,35.97
20201119T1400,31.3829,36,19.914215,0.156,36.48
20201119T1500,31.1329,38,18.899143,0.156,36.11
20201119T1600,30.4429,41,17.935081,0.155,34.79
20201119T1700,29.3229,45,13.684735,0.155,32.7
20201119T1800,27.832901,50,11.304229,0.155,30.21
20201119T1900,26.3829,57,11.304229,0.156,28.36
20201119T2000,25.0529,66,11.480557,0.157,26.92
20201119T2100,23.9029,74,12.229406,0.158,25.74
20201119T2200,23.1729,79,10.799999,0.158,24.96
20201119T2300,22.5429,83,9.826088,0.158,24.29
20201120T0000,22.1129,86,8.891344,0.158,23.72
20201120T0100,21.6729,88,8.311245,0.158,23.23
20201120T0200,21.1829,90,8.12197,0.158,22.78
20201120T0300,20.5729,92,7.9932976,0.158,22.37
20201120T0400,20.0429,94,6.8399997,0.158,22.2
20201120T0500,19.7829,94,5.937272,0.158,22.2
20201120T0600,20.0529,89,3.6,0.157,22.1
20201120T0700,21.2029,83,3.5455887,0.157,22.65
20201120T0800,24.2529,69,10.1887,0.157,24.69
20201120T0900,27.1829,58,14.113652,0.157,27.63
20201120T1000,28.9229,50,14.799459,0.156,30.62
20201120T1100,30.1729,41,12.768586,0.155,33.19
20201120T1200,31.0129,38,12.594856,0.154,35.42
